tm,w,l,w-l%,pf,pa,pd,mov,sos,srs,osrs,dsrs,conference
AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC
Buffalo Bills*,11,6,.647,451,311,140,8.2,-1.8,6.5,4.1,2.3,AFC
Miami Dolphins+,11,6,.647,496,391,105,6.2,-1.8,4.4,7.6,-3.1,AFC
New York Jets,7,10,.412,268,355,-87,-5.1,-0.6,-5.8,-6.7,0.9,AFC
New England Patriots,4,13,.235,236,366,-130,-7.6,-0.2,-7.9,-8.5,0.6,AFC
AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC
Baltimore Ravens*,13,4,.765,483,280,203,11.9,1.2,13.2,6.7,6.5,AFC
Cleveland Browns+,11,6,.647,396,362,34,2.0,1.3,3.3,2.4,0.9,AFC
Pittsburgh Steelers+,10,7,.588,304,324,-20,-1.2,1.9,0.7,-3.0,3.7,AFC
Cincinnati Bengals,9,8,.529,366,384,-18,-1.1,2.8,1.7,1.3,0.4,AFC
AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC
Houston Texans*,10,7,.588,377,353,24,1.4,-1.0,0.4,0.3,0.1,AFC
Jacksonville Jaguars,9,8,.529,377,371,6,0.4,1.1,1.4,1.3,0.1,AFC
Indianapolis Colts,9,8,.529,396,415,-19,-1.1,-0.2,-1.3,2.4,-3.8,AFC
Tennessee Titans,6,11,.353,305,367,-62,-3.6,0.4,-3.2,-4.0,0.7,AFC
AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC
Kansas City Chiefs*,11,6,.647,371,294,77,4.5,-0.8,3.7,-0.6,4.4,AFC
Las Vegas Raiders,8,9,.471,332,331,1,0.1,-0.9,-0.9,-2.4,1.6,AFC
Denver Broncos,8,9,.471,357,413,-56,-3.3,-0.5,-3.8,-0.8,-3.0,AFC
Los Angeles Chargers,5,12,.294,346,398,-52,-3.1,0.9,-2.2,-0.6,-1.6,AFC
NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC
Dallas Cowboys*,12,5,.706,509,315,194,11.4,-2.2,9.2,6.5,2.7,NFC
Philadelphia Eagles+,11,6,.647,433,428,5,0.3,-0.4,-0.1,3.6,-3.7,NFC
New York Giants,6,11,.353,266,407,-141,-8.3,0.4,-7.9,-6.9,-1.0,NFC
Washington Commanders,4,13,.235,329,518,-189,-11.1,0.0,-11.1,-2.8,-8.4,NFC
NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC
Detroit Lions*,12,5,.706,461,395,66,3.9,0.4,4.3,6.0,-1.8,NFC
Green Bay Packers+,9,8,.529,383,350,33,1.9,-0.8,1.2,0.9,0.2,NFC
Minnesota Vikings,7,10,.412,344,362,-18,-1.1,0.5,-0.6,-1.6,1.0,NFC
Chicago Bears,7,10,.412,360,379,-19,-1.1,-0.9,-2.0,-1.2,-0.9,NFC
NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC
Tampa Bay Buccaneers*,9,8,.529,348,325,23,1.4,-0.3,1.1,-1.6,2.7,NFC
New Orleans Saints,9,8,.529,402,327,75,4.4,-2.2,2.2,1.7,0.5,NFC
Atlanta Falcons,7,10,.412,321,373,-52,-3.1,-1.9,-5.0,-3.6,-1.4,NFC
Carolina Panthers,2,15,.118,236,416,-180,-10.6,0.7,-9.9,-7.9,-2.0,NFC
NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC
San Francisco 49ers*,12,5,.706,491,298,193,11.4,0.4,11.8,7.1,4.7,NFC
Los Angeles Rams+,10,7,.588,404,377,27,1.6,1.4,3.0,2.0,1.0,NFC
Seattle Seahawks,9,8,.529,364,402,-38,-2.2,1.3,-1.0,-0.2,-0.8,NFC
Arizona Cardinals,4,13,.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7,NFC
